Image;Label
data/0/553_1_TURING.jpg;TURING
data/1/1195_12_TÍNH.jpg;TÍNH
data/1/1340_0_BẢNG.jpg;BẢNG
data/1/1253_11_VỚI.jpg;VỚI
data/0/466_9_NHIỀU.jpg;NHIỀU
data/0/896_8_TRI.jpg;TRI
data/0/710_2_ĐỂ.jpg;ĐỂ
data/1/1032_2_BÁO.jpg;BÁO
data/1/1759_9_ĂN.jpg;ĂN
data/1/1120_14_TRONG.jpg;TRONG
data/0/605_4_NHIỀU.jpg;NHIỀU
data/1/1774_3_NĂM.jpg;NĂM
data/0/923_0_BẢN.jpg;BẢN
data/1/1636_28_HÙNG.jpg;HÙNG
data/1/1540_2_PHỦ.jpg;PHỦ
data/1/1188_13_LOVE.jpg;LOVE
data/1/1742_8_VỚI.jpg;VỚI
data/0/445_16_FAHD.jpg;FAHD
data/0/271_0_BẰNG.jpg;BẰNG
data/0/701_7_SỨC.jpg;SỨC
data/0/868_8_ĐẠI.jpg;ĐẠI
data/1/1920_2_MỞ.jpg;MỞ
data/1/1676_5_VÀ.jpg;VÀ
data/1/1317_1_CHIẾN.jpg;CHIẾN
data/0/850_14_NHIỀU.jpg;NHIỀU
data/1/1920_0_BERLIN.jpg;BERLIN
data/0/501_4_CÁCH.jpg;CÁCH
data/0/968_10_BAY.jpg;BAY
data/1/1855_10_LỖ.jpg;LỖ
data/0/523_5_LỊCH.jpg;LỊCH
data/1/1613_9_CHƯA.jpg;CHƯA
data/0/28_13_VÀ.jpg;VÀ
data/1/1672_1_HA.jpg;HA
data/1/1499_9_ĐỊA.jpg;ĐỊA
data/0/649_3_TỰ.jpg;TỰ
data/0/507_10_XÂM.jpg;XÂM
data/0/806_7_SOÁT.jpg;SOÁT
data/0/895_8_LÀ.jpg;LÀ
data/0/742_5_JIMMY.jpg;JIMMY
data/1/1943_4_CHỨC.jpg;CHỨC
data/0/643_7_DO.jpg;DO
data/1/1499_6_BỊ.jpg;BỊ
data/0/91_15_MÀ.jpg;MÀ
data/1/1575_2_QUỐC.jpg;QUỐC
data/1/1472_4_CHỌN.jpg;CHỌN
data/0/858_2_OF.jpg;OF
data/1/1593_2_ANH.jpg;ANH
data/0/712_4_VÁCH.jpg;VÁCH
data/1/1411_0_BA.jpg;BA
data/1/1759_3_PHỤC.jpg;PHỤC
data/1/1435_8_THÁI.jpg;THÁI
data/0/764_4_RỪNG.jpg;RỪNG
data/0/889_11_DƯỚI.jpg;DƯỚI
data/0/868_4_HAI.jpg;HAI
data/1/1544_16_CHÍNH.jpg;CHÍNH
data/1/1844_24_THEO.jpg;THEO
data/0/504_13_CHƯƠNG.jpg;CHƯƠNG
data/1/1674_9_ÁI.jpg;ÁI
data/1/1018_14_TRONG.jpg;TRONG
data/0/547_9_LƯƠNG.jpg;LƯƠNG
data/1/1703_9_SAU.jpg;SAU
data/0/5_12_CHO.jpg;CHO
data/0/229_3_COLUMBIA.jpg;COLUMBIA
data/1/1642_27_CHUẨN.jpg;CHUẨN
data/0/214_4_HIỆP.jpg;HIỆP
data/0/630_8_VÀO.jpg;VÀO
data/1/1341_7_CHÂU.jpg;CHÂU
data/0/959_0_BỆNH.jpg;BỆNH
data/1/1368_1_ĐÁNH.jpg;ĐÁNH
data/0/200_3_CỔ.jpg;CỔ
data/0/259_15_LIỆU.jpg;LIỆU
data/0/714_1_TÉT.jpg;TÉT
data/1/1024_7_HỌC.jpg;HỌC
data/0/898_8_NHẤT.jpg;NHẤT
data/1/1685_0_BÊN.jpg;BÊN
data/0/316_3_ANH.jpg;ANH
data/1/1536_7_HOẶC.jpg;HOẶC
data/0/309_3_CHÚA.jpg;CHÚA
data/1/1811_5_CẢ.jpg;CẢ
data/0/294_10_NGHIỆP.jpg;NGHIỆP
data/1/1383_4_TRONG.jpg;TRONG
data/0/643_3_TRUNG.jpg;TRUNG
data/0/164_9_NHÀ.jpg;NHÀ
data/1/1529_2_THỊNH.jpg;THỊNH
data/0/590_5_ĐÀM.jpg;ĐÀM
data/0/7_29_SÂN.jpg;SÂN
data/0/445_24_CHỦ.jpg;CHỦ
data/1/1035_19_5.jpg;5
data/0/72_9_GIÁM.jpg;GIÁM
data/0/692_7_8.jpg;8
data/1/1431_1_BẬT.jpg;BẬT
data/1/1510_13_30.jpg;30
data/0/445_29_ĐỘI.jpg;ĐỘI
data/0/434_1_CHƠI.jpg;CHƠI
data/0/656_1_CÓ.jpg;CÓ
data/0/218_4_BÌNH.jpg;BÌNH
data/1/1974_16_VONG.jpg;VONG
data/1/1193_7_NGƯỜI.jpg;NGƯỜI
data/1/1136_5_SẢN.jpg;SẢN
data/1/1658_1_NGA.jpg;NGA
data/0/988_2_CHÍNH.jpg;CHÍNH
data/0/630_9_CÁC.jpg;CÁC
data/0/285_9_NĂM.jpg;NĂM
data/1/1588_10_LĨNH.jpg;LĨNH
data/1/1216_4_CỤ.jpg;CỤ
data/1/1934_11_PHỔI.jpg;PHỔI
data/0/756_7_LÍNH.jpg;LÍNH
data/1/1787_4_KIÊM.jpg;KIÊM
data/0/47_1_CÁCH.jpg;CÁCH
data/0/778_5_VỀ.jpg;VỀ
data/0/680_4_CÔNG.jpg;CÔNG
data/0/503_8_ĐẢNG.jpg;ĐẢNG
data/0/338_18_RA.jpg;RA
data/0/467_4_HỨA.jpg;HỨA
data/0/809_1_ĐÀO.jpg;ĐÀO
data/1/1380_10_BI.jpg;BI
data/1/1634_8_NGƯỜI.jpg;NGƯỜI
data/1/1393_5_PHÁT.jpg;PHÁT
data/1/1338_11_PHIẾU.jpg;PHIẾU
data/0/0_1_TRÁI.jpg;TRÁI
data/0/44_23_CHỮ.jpg;CHỮ
data/0/815_9_HUYỆN.jpg;HUYỆN
data/1/1293_3_HÌNH.jpg;HÌNH
data/0/798_3_TƯỚNG.jpg;TƯỚNG
