Image;Height;Width;Length;Label
data/0/553_1_TURING.jpg;64;87;6;TURING
data/1/1195_12_TÍNH.jpg;64;55;4;TÍNH
data/1/1340_0_BẢNG.jpg;64;94;4;BẢNG
data/1/1253_11_VỚI.jpg;64;47;3;VỚI
data/0/466_9_NHIỀU.jpg;64;82;5;NHIỀU
data/0/896_8_TRI.jpg;64;39;3;TRI
data/0/710_2_ĐỂ.jpg;64;54;2;ĐỂ
data/1/1032_2_BÁO.jpg;64;84;3;BÁO
data/1/1759_9_ĂN.jpg;64;48;2;ĂN
data/1/1120_14_TRONG.jpg;64;101;5;TRONG
data/0/605_4_NHIỀU.jpg;64;104;5;NHIỀU
data/1/1774_3_NĂM.jpg;64;131;3;NĂM
data/0/923_0_BẢN.jpg;64;85;3;BẢN
data/1/1636_28_HÙNG.jpg;64;132;4;HÙNG
data/1/1540_2_PHỦ.jpg;64;77;3;PHỦ
data/1/1188_13_LOVE.jpg;64;38;4;LOVE
data/1/1742_8_VỚI.jpg;64;38;3;VỚI
data/0/445_16_FAHD.jpg;64;106;4;FAHD
data/0/271_0_BẰNG.jpg;64;89;4;BẰNG
data/0/701_7_SỨC.jpg;64;63;3;SỨC
data/0/868_8_ĐẠI.jpg;64;48;3;ĐẠI
data/1/1920_2_MỞ.jpg;64;40;2;MỞ
data/1/1676_5_VÀ.jpg;64;44;2;VÀ
data/1/1317_1_CHIẾN.jpg;64;101;5;CHIẾN
data/0/850_14_NHIỀU.jpg;64;78;5;NHIỀU
data/1/1920_0_BERLIN.jpg;64;79;6;BERLIN
data/0/501_4_CÁCH.jpg;64;96;4;CÁCH
data/0/968_10_BAY.jpg;64;47;3;BAY
data/1/1855_10_LỖ.jpg;64;51;2;LỖ
data/0/523_5_LỊCH.jpg;64;49;4;LỊCH
data/1/1613_9_CHƯA.jpg;64;63;4;CHƯA
data/0/28_13_VÀ.jpg;64;74;2;VÀ
data/1/1672_1_HA.jpg;64;52;2;HA
data/1/1499_9_ĐỊA.jpg;64;69;3;ĐỊA
data/0/649_3_TỰ.jpg;64;57;2;TỰ
data/0/507_10_XÂM.jpg;64;106;3;XÂM
data/0/806_7_SOÁT.jpg;64;80;4;SOÁT
data/0/895_8_LÀ.jpg;64;38;2;LÀ
data/0/742_5_JIMMY.jpg;64;144;5;JIMMY
data/1/1943_4_CHỨC.jpg;64;80;4;CHỨC
data/0/643_7_DO.jpg;64;34;2;DO
data/1/1499_6_BỊ.jpg;64;44;2;BỊ
data/0/91_15_MÀ.jpg;64;43;2;MÀ
data/1/1575_2_QUỐC.jpg;64;112;4;QUỐC
data/1/1472_4_CHỌN.jpg;64;118;4;CHỌN
data/0/858_2_OF.jpg;64;38;2;OF
data/1/1593_2_ANH.jpg;64;79;3;ANH
data/0/712_4_VÁCH.jpg;64;84;4;VÁCH
data/1/1411_0_BA.jpg;64;43;2;BA
data/1/1759_3_PHỤC.jpg;64;89;4;PHỤC
data/1/1435_8_THÁI.jpg;64;57;4;THÁI
data/0/764_4_RỪNG.jpg;64;107;4;RỪNG
data/0/889_11_DƯỚI.jpg;64;91;4;DƯỚI
data/0/868_4_HAI.jpg;64;48;3;HAI
data/1/1544_16_CHÍNH.jpg;64;133;5;CHÍNH
data/1/1844_24_THEO.jpg;64;117;4;THEO
data/0/504_13_CHƯƠNG.jpg;64;158;6;CHƯƠNG
data/1/1674_9_ÁI.jpg;64;49;2;ÁI
data/1/1018_14_TRONG.jpg;64;71;5;TRONG
data/0/547_9_LƯƠNG.jpg;64;137;5;LƯƠNG
data/1/1703_9_SAU.jpg;64;49;3;SAU
data/0/5_12_CHO.jpg;64;58;3;CHO
data/0/229_3_COLUMBIA.jpg;64;163;8;COLUMBIA
data/1/1642_27_CHUẨN.jpg;64;77;5;CHUẨN
data/0/214_4_HIỆP.jpg;64;82;4;HIỆP
data/0/630_8_VÀO.jpg;64;65;3;VÀO
data/1/1341_7_CHÂU.jpg;64;49;4;CHÂU
data/0/959_0_BỆNH.jpg;64;126;4;BỆNH
data/1/1368_1_ĐÁNH.jpg;64;156;4;ĐÁNH
data/0/200_3_CỔ.jpg;64;43;2;CỔ
data/0/259_15_LIỆU.jpg;64;51;4;LIỆU
data/0/714_1_TÉT.jpg;64;108;3;TÉT
data/1/1024_7_HỌC.jpg;64;86;3;HỌC
data/0/898_8_NHẤT.jpg;64;68;4;NHẤT
data/1/1685_0_BÊN.jpg;64;64;3;BÊN
data/0/316_3_ANH.jpg;64;84;3;ANH
data/1/1536_7_HOẶC.jpg;64;70;4;HOẶC
data/0/309_3_CHÚA.jpg;64;67;4;CHÚA
data/1/1811_5_CẢ.jpg;64;76;2;CẢ
data/0/294_10_NGHIỆP.jpg;64;91;6;NGHIỆP
data/1/1383_4_TRONG.jpg;64;182;5;TRONG
data/0/643_3_TRUNG.jpg;64;73;5;TRUNG
data/0/164_9_NHÀ.jpg;64;73;3;NHÀ
data/1/1529_2_THỊNH.jpg;64;80;5;THỊNH
data/0/590_5_ĐÀM.jpg;64;77;3;ĐÀM
data/0/7_29_SÂN.jpg;64;38;3;SÂN
data/0/445_24_CHỦ.jpg;64;83;3;CHỦ
data/1/1035_19_5.jpg;64;21;1;5
data/0/72_9_GIÁM.jpg;64;52;4;GIÁM
data/0/692_7_8.jpg;64;22;1;8
data/1/1431_1_BẬT.jpg;64;70;3;BẬT
data/1/1510_13_30.jpg;64;27;2;30
data/0/445_29_ĐỘI.jpg;64;75;3;ĐỘI
data/0/434_1_CHƠI.jpg;64;78;4;CHƠI
